Comment,Designator,Footprint,LCSC,Quantity
1N4148SW,"D_L_11,D_L_12,D_L_13,D_L_14,D_L_15,D_L_16,D_L_21,D_L_22,D_L_23,D_L_24,D_L_25,D_L_26,D_L_31,D_L_32,D_L_33,D_L_34,D_L_35,D_L_36,D_L_41,D_L_42,D_L_43,D_L_44,D_L_45,D_L_46,D_R_11,D_R_12,D_R_13,D_R_14,D_R_15,D_R_16,D_R_21,D_R_22,D_R_23,D_R_24,D_R_25,D_R_26,D_R_31,D_R_32,D_R_33,D_R_34,D_R_35,D_R_36,D_R_41,D_R_42,D_R_43,D_R_44,D_R_45,D_R_46",D_SOD-323,C2128,48
2k,"R10,R6,R7,R9",R_0402,C4109,4
3.3k,"R5,R8",R_0402,C25890,2
SW_Push,K_L_33,GatronLP_Hotswap_1u,,1
SW_Push,K_L_35,GatronLP_Hotswap_1u,,1
SW_Push,K_R_12,GatronLP_Hotswap_1u,,1
SW_Push,K_R_42,GatronLP_Hotswap_1u,,1
SW_Push,K_L_42,GatronLP_Hotswap_1u,,1
SW_Push,K_R_43,GatronLP_Hotswap_1u,,1
SW_Push,K_R_32,GatronLP_Hotswap_1u,,1
SW_Push,K_R_11,GatronLP_Hotswap_1u,,1
SW_Push,K_R_34,GatronLP_Hotswap_1u,,1
SW_Push,K_R_16,GatronLP_Hotswap_1u,,1
SW_Push,K_L_31,GatronLP_Hotswap_1u,,1
SW_Push,K_R_15,GatronLP_Hotswap_1u,,1
SW_Push,K_R_26,GatronLP_Hotswap_1u,,1
SW_Push,K_L_34,GatronLP_Hotswap_1u,,1
SW_Push,K_L_15,GatronLP_Hotswap_1u,,1
SW_Push,K_L_22,GatronLP_Hotswap_1u,,1
SW_Push,K_R_36,GatronLP_Hotswap_1u,,1
SW_Push,K_L_11,GatronLP_Hotswap_1u,,1
SW_Push,K_L_24,GatronLP_Hotswap_1u,,1
SW_Push,K_R_35,GatronLP_Hotswap_1u,,1
SW_Push,K_L_16,GatronLP_Hotswap_1u,,1
SW_Push,K_R_25,GatronLP_Hotswap_1u,,1
SW_Push,K_R_24,GatronLP_Hotswap_1u,,1
SW_Push,K_L_21,GatronLP_Hotswap_1u,,1
LED_ABGR,LED2,LED Rectangle(OSTBMAZ2C1D),,1
SW_Push,K_L_41,GatronLP_Hotswap_1u,,1
SW_Push,K_L_14,GatronLP_Hotswap_1u,,1
SW_Push,K_L_26,GatronLP_Hotswap_1u,,1
SW_Push,K_L_36,GatronLP_Hotswap_1u,,1
SW_Push,K_R_33,GatronLP_Hotswap_1u,,1
SW_Push,K_R_22,GatronLP_Hotswap_1u,,1
SW_Push,K_L_12,GatronLP_Hotswap_1u,,1
SW_Push,K_L_25,GatronLP_Hotswap_1u,,1
SW_Push,K_R_23,GatronLP_Hotswap_1u,,1
SW_Push,K_L_44,GatronLP_Hotswap_1u,,1
LED_ABGR,LED1,LED Rectangle(OSTBMAZ2C1D),,1
SW_Push,K_R_44,GatronLP_Hotswap_1u,,1
SW_Push,K_R_21,GatronLP_Hotswap_1u,,1
SW_Push,K_R_41,GatronLP_Hotswap_1u,,1
SW_Push,K_L_23,GatronLP_Hotswap_1u,,1
SW_Push,K_R_14,GatronLP_Hotswap_1u,,1
SW_Push,K_L_13,GatronLP_Hotswap_1u,,1
SW_Push,K_R_31,GatronLP_Hotswap_1u,,1
SW_Push,K_L_32,GatronLP_Hotswap_1u,,1
SW_Push,K_R_13,GatronLP_Hotswap_1u,,1
SW_Push,K_L_43,GatronLP_Hotswap_1u,,1
Conn_01x02,J8,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,,1
Conn_01x02,J7,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,,1
